Time,accX,accY,accZ
1503530526602,0.17108154,-0.21231079,9.13385
1503530526651,0.15776062,-0.23660278,9.132904
1503530526701,0.17156982,-0.21089172,9.128616
1503530526750,0.18965149,-0.22564697,9.128143
1503530526799,0.17633057,-0.22755432,9.1171875
1503530526849,0.1663208,-0.21517944,9.11528
1503530526898,0.17204285,-0.1956482,9.139572
1503530526947,0.1663208,-0.21517944,9.118622
1503530526996,0.18870544,-0.23898315,9.1129
1503530527046,0.14251709,-0.21279907,9.12529
1503530527096,0.16584778,-0.22850037,9.109573
1503530527145,0.18013,-0.23516846,9.121948
1503530527194,0.1572876,-0.22279358,9.109573
1503530527243,0.17156982,-0.22517395,9.12767
1503530527293,0.17871094,-0.23516846,9.091003
1503530527341,0.1701355,-0.23898315,9.113861
1503530527390,0.17965698,-0.2194519,9.135757
1503530527440,0.16299438,-0.22755432,9.115768
1503530527489,0.16775513,-0.22088623,9.120041
1503530527538,0.14157104,-0.23278809,9.110046
1503530527588,0.17774963,-0.23422241,9.102905
1503530527637,0.17965698,-0.22232056,9.1167145
1503530527687,0.19108582,-0.22279358,9.13147
1503530527735,0.17680359,-0.21279907,9.138138
1503530527784,0.17727661,-0.21707153,9.119095
1503530527834,0.1839447,-0.21374512,9.121002
1503530527883,0.18013,-0.22517395,9.120041
1503530527933,0.17156982,-0.22946167,9.113861
1503530527982,0.16822815,-0.23135376,9.130524
1503530528031,0.1829834,-0.21374512,9.100052
1503530528080,0.18632507,-0.21803284,9.124802
1503530528130,0.16156006,-0.20375061,9.0976715
1503530528179,0.17774963,-0.20707703,9.126236
1503530528228,0.18585205,-0.21279907,9.130051
1503530528278,0.18203735,-0.21850586,9.134811
1503530528327,0.16490173,-0.21707153,9.138138
1503530528376,0.17727661,-0.206604,9.128143
1503530528425,0.16680908,-0.21565247,9.13147
1503530528474,0.1672821,-0.21421814,9.096237
1503530528524,0.16775513,-0.22135925,9.123383
1503530528573,0.18109131,-0.23135376,9.135757
1503530528622,0.17298889,-0.20516968,9.094818
1503530528672,0.17442322,-0.22564697,9.102432
1503530528721,0.16204834,-0.21803284,9.113861
1503530528770,0.18870544,-0.22755432,9.128616
1503530528819,0.17251587,-0.20184326,9.139084
1503530528868,0.17871094,-0.22850037,9.13385
1503530528918,0.17204285,-0.23184204,9.1176605
1503530528968,0.19488525,-0.22517395,9.118622
1503530529017,0.18109131,-0.2270813,9.13385
1503530529066,0.16299438,-0.2370758,9.087677
1503530529115,0.17680359,-0.20898438,9.1091
1503530529164,0.17680359,-0.21897888,9.092438
1503530529213,0.17442322,-0.21469116,9.132431
1503530529262,0.16204834,-0.22470093,9.115768
1503530529313,0.16918945,-0.23422241,9.108139
1503530529362,0.1967926,-0.21994019,9.137665
1503530529411,0.17680359,-0.21707153,9.120529
1503530529460,0.17204285,-0.23469543,9.167175
1503530529509,0.18060303,-0.22612,9.102432
1503530529559,0.16156006,-0.22755432,9.130524
1503530529608,0.18109131,-0.21469116,9.132431
1503530529657,0.1739502,-0.22088623,9.119095
1503530529706,0.16204834,-0.22183228,9.115768
1503530529755,0.16252136,-0.2370758,9.126236
1503530529805,0.18774414,-0.22564697,9.127182
1503530529854,0.17108154,-0.21231079,9.093384
1503530529903,0.17633057,-0.22232056,9.081482
1503530529952,0.16014099,-0.21565247,9.109573
1503530530002,0.19155884,-0.21755981,9.122421
1503530530051,0.17822266,-0.21803284,9.140518
1503530530100,0.17442322,-0.22755432,9.080063
1503530530149,0.17680359,-0.19517517,9.108627
1503530530199,0.16775513,-0.21374512,9.113388
1503530530248,0.17774963,-0.21136475,9.124802
1503530530297,0.16490173,-0.23516846,9.13147
1503530530347,0.18251038,-0.21755981,9.112427
1503530530396,0.16156006,-0.2027893,9.124802
1503530530445,0.17204285,-0.21469116,9.1171875
1503530530494,0.15870667,-0.2027893,9.1419525
1503530530544,0.14538574,-0.19041443,9.076248
1503530530592,0.14157104,-0.20755005,9.111481
1503530530642,0.17442322,-0.21897888,9.061966
1503530530691,0.20298767,-0.20613098,9.140045
1503530530741,0.18156433,-0.23135376,9.135757
1503530530790,0.1663208,-0.22088623,9.100052
1503530530839,0.1634674,-0.21374512,9.082916
1503530530889,0.17918396,-0.24136353,9.098145
1503530530938,0.17204285,-0.22135925,9.114807
1503530530987,0.08015442,-0.18565369,8.971039
1503530531036,0.13824463,-0.2027893,9.118622
1503530531072,0.15823364,-0.24468994,9.102432
1503530531078,0.18203735,-0.21136475,9.130997
1503530531085,0.19155884,-0.22088623,9.069107
1503530531109,0.19393921,-0.22564697,9.007217
1503530531119,0.12728882,-0.2637329,9.130997
1503530531129,0.14633179,-0.23516846,9.042923
1503530531139,0.1867981,-0.20898438,9.145279
1503530531149,0.16299438,-0.22564697,9.169083
1503530531158,0.19393921,-0.21612549,9.142899
1503530531168,0.15585327,-0.22088623,9.081009
1503530531178,0.15585327,-0.23516846,9.08577
1503530531188,0.1534729,-0.20184326,9.147659
1503530531198,0.16061401,-0.22564697,9.09053
1503530531208,0.17965698,-0.22802734,9.050064
1503530531218,0.15585327,-0.24945068,9.083389
1503530531227,0.2034607,-0.21612549,9.08815
1503530531237,0.14395142,-0.23278809,9.142899
1503530531247,0.19393921,-0.28277588,9.147659
1503530531257,0.16299438,-0.23040771,9.169083
1503530531267,0.16537476,-0.25897217,9.130997
1503530531277,0.1867981,-0.20422363,9.111954
1503530531287,0.18917847,-0.23040771,9.081009
1503530531297,0.2034607,-0.2232666,9.059586
1503530531306,0.16775513,-0.22802734,9.114334
1503530531316,0.16299438,-0.20422363,9.145279
1503530531326,0.16299438,-0.1828003,9.095291
1503530531336,0.1701355,-0.22802734,9.083389
1503530531346,0.15823364,-0.23754883,9.145279
1503530531356,0.17251587,-0.23040771,9.111954
1503530531365,0.17251587,-0.24707031,9.1167145
1503530531375,0.19393921,-0.27563477,9.119095
1503530531385,0.15823364,-0.22564697,9.142899
1503530531395,0.17489624,-0.2399292,9.100052
1503530531405,0.1534729,-0.21612549,9.176224
1503530531415,0.32724,-0.3232422,9.123856
1503530531425,0.50338745,-0.206604,9.319046
1503530531435,0.14395142,-0.2399292,9.0215
1503530531444,0.13204956,-0.18756104,9.073868
1503530531454,0.14395142,-0.21612549,9.202408
1503530531464,0.23202515,-0.22802734,9.161942
1503530531474,0.19155884,-0.20898438,9.135757
1503530531484,0.19869995,-0.24945068,9.119095
1503530531494,0.19631958,-0.21136475,9.1167145
1503530531504,0.21298218,-0.22088623,9.078629
1503530531513,0.15823364,-0.23040771,9.133377
1503530531523,0.120147705,-0.21612549,9.114334
1503530531533,0.19155884,-0.21850586,9.073868
1503530531543,0.20108032,-0.206604,9.069107
1503530531553,0.14633179,-0.20184326,9.083389
1503530531562,0.16775513,-0.22564697,9.095291
1503530531572,0.1867981,-0.20898438,9.192886
1503530531582,0.17727661,-0.1899414,9.157181
1503530531592,0.20822144,-0.23040771,9.08577
1503530531602,0.18917847,-0.25421143,8.985794
1503530531611,0.2106018,-0.19708252,9.15004
1503530531622,0.1701355,-0.2232666,9.128616
1503530531632,0.19393921,-0.22802734,9.092911
1503530531641,0.1701355,-0.21374512,9.064346
1503530531651,0.20584106,-0.2399292,9.123856
1503530531661,0.18203735,-0.2232666,9.092911
1503530531671,0.14395142,-0.21850586,9.104813
1503530531681,0.18441772,-0.21612549,9.178604
1503530531691,0.12728882,-0.25183105,9.119095
1503530531700,0.18917847,-0.2232666,9.1548
1503530531710,0.14633179,-0.25183105,9.059586
1503530531720,0.2106018,-0.20898438,9.119095
1503530531730,0.19393921,-0.24468994,9.08815
