Time,SampleCounts
25059660,1117
25059661,1197
25059662,1198
25059663,1198
25059664,1198
25059665,1198
25059666,1199
25059667,1199
25059668,1198
25059669,1199
25059670,1199
25059671,1199
25059672,1199
25059673,1197
25059674,1198
25059675,1197
25059676,1197
25059677,1197
25059678,1197
25059679,1196
25059680,1197
25059681,1196
25059682,1325
25059683,1197
25059684,1197
25059685,1198
25059686,1197
25059687,1197
25059688,1198
25059689,1197
25059690,1197
25059691,1198
25059692,1198
25059693,1198
25059694,1198
25059695,1198
25059696,1198
25059697,1199
25059698,1199
25059699,1198
25059700,1198
25059701,1199
25059702,1198
25059703,1198
25059704,1198
25059705,1198
25059706,1197
25059707,1196
25059708,1196
25059709,1197
25059710,1364
25059711,1197
25059712,1671
25059713,1197
25059714,1198
25059715,1198
25059716,1198
25059717,1199
25059718,1198
25059719,1199
25059720,49
